asset,strategy,move_pct,days,iv_change,pnl,theta_impact,profitable
BTC,Bull Call Spread,-10,7,5,-75245.35247435041,-5572.321026746951,False
BTC,Long Straddle,-10,7,5,-12522.299733455511,-84805.76381161093,False
BTC,Bull Call Spread,-5,14,0,-43366.47160990382,-9229.537045109788,False
BTC,Long Straddle,-5,14,0,-188856.2108470272,-192487.0407934359,False
BTC,Bull Call Spread,0,21,-10,679.0670100829448,-4552.4191835215115,True
BTC,Long Straddle,0,21,-10,-391715.50064757885,-304435.8120506812,False
BTC,Bull Call Spread,5,14,0,45194.505840971105,10275.347027471757,True
BTC,Long Straddle,5,14,0,-137400.46506262,-204521.86098982542,False
BTC,Bull Call Spread,10,7,5,73329.88578211018,7566.475964397415,True
BTC,Long Straddle,10,7,5,101888.86407425682,-96545.42692683203,True
BTC,Bull Call Spread,15,3,10,94827.7269072863,3890.582419645628,True
BTC,Long Straddle,15,3,10,323938.0668460388,-40725.34790229011,True
ETH,Bull Call Spread,-10,7,5,-245.69911012032708,-18.195333964888,False
ETH,Long Straddle,-10,7,5,-40.88914198679595,-276.9167797930153,False
ETH,Bull Call Spread,-5,14,0,-141.6048052568267,-30.1372638207666,False
ETH,Long Straddle,-5,14,0,-616.6733415413137,-628.5291127948925,False
ETH,Bull Call Spread,0,21,-10,2.2173616655773003,-14.865042231907076,True
ETH,Long Straddle,0,21,-10,-1279.0710225227067,-994.0761209818162,False
ETH,Bull Call Spread,5,14,0,147.57389662357946,33.552153559091394,True
ETH,Long Straddle,5,14,0,-448.65457979631174,-667.8264848647361,False
ETH,Bull Call Spread,10,7,5,239.4445250028084,24.706860291909898,True
ETH,Long Straddle,10,7,5,332.6983316710429,-315.25037363863527,True
ETH,Bull Call Spread,15,3,10,309.6415572482829,12.703942594761237,True
ETH,Long Straddle,15,3,10,1057.756952966657,-132.9807278442126,True
SOL,Bull Call Spread,-10,7,5,-0.6142477753008222,-0.045488334912219985,False
SOL,Long Straddle,-10,7,5,-0.10222285496699471,-0.6922919494825382,False
SOL,Bull Call Spread,-5,14,0,-0.35401201314206787,-0.07534315955191653,False
SOL,Long Straddle,-5,14,0,-1.5416833538532868,-1.5713227819872313,False
SOL,Bull Call Spread,0,21,-10,0.005543404163944388,-0.03716260557976755,True
SOL,Long Straddle,0,21,-10,-3.197677556306766,-2.4851903024545408,False
SOL,Bull Call Spread,5,14,0,0.36893474155894806,0.08388038389772867,True
SOL,Long Straddle,5,14,0,-1.1216364494907793,-1.6695662121618402,False
SOL,Bull Call Spread,10,7,5,0.5986113125070233,0.061767150729774976,True
SOL,Long Straddle,10,7,5,0.8317458291776092,-0.788125934096588,True
SOL,Bull Call Spread,15,3,10,0.7741038931207072,0.03175985648690303,True
SOL,Long Straddle,15,3,10,2.644392382416639,-0.3324518196105314,True
XRP,Bull Call Spread,-10,7,5,-0.0001038078740258398,-7.687528600165187e-06,False
XRP,Long Straddle,-10,7,5,-1.727566248942247e-05,-0.00011699733946254898,False
XRP,Bull Call Spread,-5,14,0,-5.982803022101078e-05,-1.2732993964273988e-05,False
XRP,Long Straddle,-5,14,0,-0.00026054448680120474,-0.0002655535501558421,False
XRP,Bull Call Spread,0,21,-10,9.368353037044308e-07,-6.280480342980704e-06,True
XRP,Long Straddle,0,21,-10,-0.0005404075070158448,-0.0004199971611148173,False
XRP,Bull Call Spread,5,14,0,6.234997132346305e-05,1.4175784878716167e-05,True
XRP,Long Straddle,5,14,0,-0.0001895565599639408,-0.0002821566898553511,False
XRP,Bull Call Spread,10,7,5,0.00010116531181368689,1.0438648473331969e-05,True
XRP,Long Straddle,10,7,5,0.00014056504513101543,-0.0001331932828623234,True
XRP,Bull Call Spread,15,3,10,0.00013082355793739961,5.367415746286626e-06,True
XRP,Long Straddle,15,3,10,0.0004469023126284111,-5.618435751417982e-05,True
